Size	Density	Representation	Method	AverageTime(ms)
20	0,10	Matrix	BFS	0,1000
20	0,10	List	BFS	0,0500
20	0,10	Matrix	DFS	0,0500
20	0,10	List	DFS	0,0000
20	0,25	Matrix	BFS	0,0000
20	0,25	List	BFS	0,0000
20	0,25	Matrix	DFS	0,1000
20	0,25	List	DFS	0,0000
20	0,40	Matrix	BFS	0,0000
20	0,40	List	BFS	0,0000
20	0,40	Matrix	DFS	0,0000
20	0,40	List	DFS	0,0000
20	0,55	Matrix	BFS	0,0500
20	0,55	List	BFS	0,0000
20	0,55	Matrix	DFS	0,0000
20	0,55	List	DFS	0,0000
20	0,70	Matrix	BFS	0,0500
20	0,70	List	BFS	0,0000
20	0,70	Matrix	DFS	0,0000
20	0,70	List	DFS	0,0000
40	0,10	Matrix	BFS	0,1000
40	0,10	List	BFS	0,0000
40	0,10	Matrix	DFS	0,0500
40	0,10	List	DFS	0,0000
40	0,25	Matrix	BFS	1,0000
40	0,25	List	BFS	0,0000
40	0,25	Matrix	DFS	0,9000
40	0,25	List	DFS	0,0000
40	0,40	Matrix	BFS	1,0500
40	0,40	List	BFS	0,0000
40	0,40	Matrix	DFS	1,3000
40	0,40	List	DFS	0,0000
40	0,55	Matrix	BFS	2,6000
40	0,55	List	BFS	1,0500
40	0,55	Matrix	DFS	3,6000
40	0,55	List	DFS	0,0500
40	0,70	Matrix	BFS	1,7000
40	0,70	List	BFS	0,0000
40	0,70	Matrix	DFS	1,0000
40	0,70	List	DFS	0,0000
60	0,10	Matrix	BFS	1,7000
60	0,10	List	BFS	0,0000
60	0,10	Matrix	DFS	3,0000
60	0,10	List	DFS	0,8000
60	0,25	Matrix	BFS	5,9000
60	0,25	List	BFS	0,0000
60	0,25	Matrix	DFS	3,4000
60	0,25	List	DFS	0,1500
60	0,40	Matrix	BFS	4,0500
60	0,40	List	BFS	0,7000
60	0,40	Matrix	DFS	4,3500
60	0,40	List	DFS	1,0000
60	0,55	Matrix	BFS	10,1000
