Size	Density	Representation	Method	AverageTime(ms)
20	0,10	Matrix	BFS	0,3500
20	0,10	List	BFS	0,1000
20	0,10	Matrix	DFS	0,2000
20	0,10	List	DFS	0,0500
20	0,25	Matrix	BFS	0,0000
20	0,25	List	BFS	0,0000
20	0,25	Matrix	DFS	0,3000
20	0,25	List	DFS	0,0000
20	0,40	Matrix	BFS	0,0000
20	0,40	List	BFS	0,0000
20	0,40	Matrix	DFS	0,0000
20	0,40	List	DFS	0,0000
20	0,55	Matrix	BFS	0,1500
20	0,55	List	BFS	0,0000
20	0,55	Matrix	DFS	0,0000
20	0,55	List	DFS	0,0000
20	0,70	Matrix	BFS	0,1000
20	0,70	List	BFS	0,0000
20	0,70	Matrix	DFS	0,0000
20	0,70	List	DFS	0,0000
40	0,10	Matrix	BFS	0,1000
40	0,10	List	BFS	0,0000
40	0,10	Matrix	DFS	0,1000
40	0,10	List	DFS	0,0000
40	0,25	Matrix	BFS	1,0500
40	0,25	List	BFS	0,1000
40	0,25	Matrix	DFS	2,0000
40	0,25	List	DFS	0,0000
40	0,40	Matrix	BFS	3,1500
40	0,40	List	BFS	0,0000
40	0,40	Matrix	DFS	2,2500
40	0,40	List	DFS	0,0500
40	0,55	Matrix	BFS	2,3000
40	0,55	List	BFS	0,0000
40	0,55	Matrix	DFS	2,3000
40	0,55	List	DFS	0,0000
40	0,70	Matrix	BFS	2,2000
40	0,70	List	BFS	0,2000
40	0,70	Matrix	DFS	2,2500
40	0,70	List	DFS	0,1000
60	0,10	Matrix	BFS	4,9000
60	0,10	List	BFS	0,0000
60	0,10	Matrix	DFS	3,5500
60	0,10	List	DFS	0,0500
60	0,25	Matrix	BFS	5,6000
60	0,25	List	BFS	1,0000
60	0,25	Matrix	DFS	5,4000
60	0,25	List	DFS	1,0500
60	0,40	Matrix	BFS	8,8500
60	0,40	List	BFS	1,8500
60	0,40	Matrix	DFS	9,3500
60	0,40	List	DFS	0,2500
60	0,55	Matrix	BFS	5,9500
60	0,55	List	BFS	1,1500
60	0,55	Matrix	DFS	7,8500
60	0,55	List	DFS	1,0000
60	0,70	Matrix	BFS	7,6000
60	0,70	List	BFS	2,0000
60	0,70	Matrix	DFS	9,8000
60	0,70	List	DFS	2,5000
80	0,10	Matrix	BFS	11,0500
80	0,10	List	BFS	1,2500
80	0,10	Matrix	DFS	11,2000
80	0,10	List	DFS	1,0500
80	0,25	Matrix	BFS	15,8500
80	0,25	List	BFS	2,2000
80	0,25	Matrix	DFS	17,1500
80	0,25	List	DFS	2,7000
80	0,40	Matrix	BFS	23,6000
80	0,40	List	BFS	3,4000
80	0,40	Matrix	DFS	22,8500
80	0,40	List	DFS	4,1000
80	0,55	Matrix	BFS	14,5000
80	0,55	List	BFS	3,3000
80	0,55	Matrix	DFS	26,6500
80	0,55	List	DFS	5,0000
80	0,70	Matrix	BFS	23,9000
80	0,70	List	BFS	3,6000
80	0,70	Matrix	DFS	22,5000
80	0,70	List	DFS	5,7500
100	0,10	Matrix	BFS	20,2000
100	0,10	List	BFS	3,1000
100	0,10	Matrix	DFS	21,3500
100	0,10	List	DFS	2,9000
100	0,25	Matrix	BFS	30,4500
100	0,25	List	BFS	3,8500
100	0,25	Matrix	DFS	32,4500
100	0,25	List	DFS	5,1000
100	0,40	Matrix	BFS	44,5500
100	0,40	List	BFS	6,6000
100	0,40	Matrix	DFS	42,6500
100	0,40	List	DFS	7,4000
100	0,55	Matrix	BFS	48,9500
100	0,55	List	BFS	8,6500
100	0,55	Matrix	DFS	47,7500
100	0,55	List	DFS	12,8500
100	0,70	Matrix	BFS	47,1000
100	0,70	List	BFS	10,3500
100	0,70	Matrix	DFS	46,5500
100	0,70	List	DFS	11,1000
120	0,10	Matrix	BFS	30,2500
120	0,10	List	BFS	4,1500
120	0,10	Matrix	DFS	23,6000
120	0,10	List	DFS	4,1500
120	0,25	Matrix	BFS	50,3000
120	0,25	List	BFS	8,1000
120	0,25	Matrix	DFS	55,4000
120	0,25	List	DFS	9,5000
120	0,40	Matrix	BFS	67,6000
120	0,40	List	BFS	8,0000
120	0,40	Matrix	DFS	71,3000
120	0,40	List	DFS	12,4000
120	0,55	Matrix	BFS	68,4000
120	0,55	List	BFS	12,4500
120	0,55	Matrix	DFS	86,8500
120	0,55	List	DFS	14,8500
120	0,70	Matrix	BFS	74,6000
120	0,70	List	BFS	24,5000
120	0,70	Matrix	DFS	84,1000
120	0,70	List	DFS	22,6000
140	0,10	Matrix	BFS	51,0500
140	0,10	List	BFS	5,8500
140	0,10	Matrix	DFS	42,9000
140	0,10	List	DFS	5,7500
140	0,25	Matrix	BFS	84,0500
140	0,25	List	BFS	11,0500
140	0,25	Matrix	DFS	83,4000
140	0,25	List	DFS	15,6000
140	0,40	Matrix	BFS	115,6000
140	0,40	List	BFS	17,5000
140	0,40	Matrix	DFS	117,1500
140	0,40	List	DFS	20,3000
140	0,55	Matrix	BFS	133,0000
140	0,55	List	BFS	22,0500
140	0,55	Matrix	DFS	128,5500
140	0,55	List	DFS	22,5000
140	0,70	Matrix	BFS	121,6500
140	0,70	List	BFS	24,9000
140	0,70	Matrix	DFS	115,0500
140	0,70	List	DFS	28,6000
160	0,10	Matrix	BFS	80,3000
160	0,10	List	BFS	9,2500
160	0,10	Matrix	DFS	82,5500
160	0,10	List	DFS	9,2500
160	0,25	Matrix	BFS	118,4000
160	0,25	List	BFS	16,3500
160	0,25	Matrix	DFS	103,1000
160	0,25	List	DFS	17,4000
160	0,40	Matrix	BFS	184,0500
160	0,40	List	BFS	21,7000
160	0,40	Matrix	DFS	185,4500
160	0,40	List	DFS	25,3000
160	0,55	Matrix	BFS	191,6500
160	0,55	List	BFS	32,0500
160	0,55	Matrix	DFS	187,4000
160	0,55	List	DFS	37,1000
160	0,70	Matrix	BFS	166,8000
160	0,70	List	BFS	31,3000
160	0,70	Matrix	DFS	149,2500
160	0,70	List	DFS	34,4000
180	0,10	Matrix	BFS	91,2500
180	0,10	List	BFS	6,5500
180	0,10	Matrix	DFS	93,2500
180	0,10	List	DFS	6,3000
180	0,25	Matrix	BFS	145,5500
180	0,25	List	BFS	13,5000
180	0,25	Matrix	DFS	137,2500
180	0,25	List	DFS	26,3500
180	0,40	Matrix	BFS	213,0500
180	0,40	List	BFS	33,6500
180	0,40	Matrix	DFS	220,4500
180	0,40	List	DFS	27,3000
180	0,55	Matrix	BFS	238,5000
180	0,55	List	BFS	40,5000
180	0,55	Matrix	DFS	213,3500
180	0,55	List	DFS	46,4500
180	0,70	Matrix	BFS	213,7000
180	0,70	List	BFS	49,9500
180	0,70	Matrix	DFS	216,6500
180	0,70	List	DFS	59,3500
200	0,10	Matrix	BFS	124,0500
200	0,10	List	BFS	15,4000
200	0,10	Matrix	DFS	134,5500
200	0,10	List	DFS	11,7500
200	0,25	Matrix	BFS	193,0000
200	0,25	List	BFS	23,4000
200	0,25	Matrix	DFS	206,7000
200	0,25	List	DFS	23,5500
200	0,40	Matrix	BFS	294,7000
200	0,40	List	BFS	46,4500
200	0,40	Matrix	DFS	248,1500
200	0,40	List	DFS	49,6500
200	0,55	Matrix	BFS	304,9500
200	0,55	List	BFS	50,5000
200	0,55	Matrix	DFS	305,2000
200	0,55	List	DFS	49,4500
200	0,70	Matrix	BFS	303,7000
200	0,70	List	BFS	61,8000
200	0,70	Matrix	DFS	316,8000
200	0,70	List	DFS	67,8500
