Size	Density	Representation	Method	AverageTime(ms)
20	0.10	Matrix	BFS	0.0100
20	0.10	List	BFS	0.0000
20	0.10	Matrix	DFS	0.0000
20	0.10	List	DFS	0.0000
20	0.25	Matrix	BFS	0.0100
20	0.25	List	BFS	0.0000
20	0.25	Matrix	DFS	0.0000
20	0.25	List	DFS	0.0000
20	0.40	Matrix	BFS	0.0000
20	0.40	List	BFS	0.0000
20	0.40	Matrix	DFS	0.0000
20	0.40	List	DFS	0.0000
20	0.55	Matrix	BFS	0.0000
20	0.55	List	BFS	0.0000
20	0.55	Matrix	DFS	0.0000
20	0.55	List	DFS	0.0000
20	0.70	Matrix	BFS	0.0000
20	0.70	List	BFS	0.0000
20	0.70	Matrix	DFS	0.0000
20	0.70	List	DFS	0.0000
40	0.10	Matrix	BFS	0.0000
40	0.10	List	BFS	0.0000
40	0.10	Matrix	DFS	0.0100
40	0.10	List	DFS	0.0000
40	0.25	Matrix	BFS	0.0000
40	0.25	List	BFS	0.0000
40	0.25	Matrix	DFS	0.0000
40	0.25	List	DFS	0.0000
40	0.40	Matrix	BFS	0.0000
40	0.40	List	BFS	0.0000
40	0.40	Matrix	DFS	0.0000
40	0.40	List	DFS	0.0000
40	0.55	Matrix	BFS	0.0000
40	0.55	List	BFS	0.0000
40	0.55	Matrix	DFS	0.0000
40	0.55	List	DFS	0.0000
40	0.70	Matrix	BFS	0.0000
40	0.70	List	BFS	0.0000
40	0.70	Matrix	DFS	0.0000
40	0.70	List	DFS	0.0000
60	0.10	Matrix	BFS	0.9900
60	0.10	List	BFS	0.0000
60	0.10	Matrix	DFS	0.9700
60	0.10	List	DFS	0.0000
60	0.25	Matrix	BFS	1.0000
60	0.25	List	BFS	0.0000
60	0.25	Matrix	DFS	1.0000
60	0.25	List	DFS	0.0000
60	0.40	Matrix	BFS	1.0400
60	0.40	List	BFS	0.0000
60	0.40	Matrix	DFS	1.0100
60	0.40	List	DFS	0.0000
60	0.55	Matrix	BFS	1.2000
60	0.55	List	BFS	0.0000
60	0.55	Matrix	DFS	1.1800
60	0.55	List	DFS	0.0000
60	0.70	Matrix	BFS	1.2900
60	0.70	List	BFS	0.0000
60	0.70	Matrix	DFS	1.2400
60	0.70	List	DFS	0.0000
80	0.10	Matrix	BFS	2.0000
80	0.10	List	BFS	0.0000
80	0.10	Matrix	DFS	2.0000
80	0.10	List	DFS	0.0000
80	0.25	Matrix	BFS	3.1100
80	0.25	List	BFS	0.0000
80	0.25	Matrix	DFS	3.1000
80	0.25	List	DFS	0.0000
80	0.40	Matrix	BFS	4.0400
